"state","PercentHighSchoolOrHigher","PercentBachelorsOrHigher"
"Montana",94,33.1
"Wyoming",93.6,28.2
"Vermont",93.5,39.7
"Minnesota",93.4,36.8
"New Hampshire",93.3,37.6
"Maine",93.2,32.5
"Alaska",93.1,30
"North Dakota",93.1,30.7
"Utah",93,34.7
"Wisconsin",92.6,30.8
"Hawaii",92.5,33.6
"Iowa",92.5,29.3
"South Dakota",92.2,29.3
"Colorado",92.1,41.6
"District of Columbia",91.9,59.8
"Washington",91.7,36.7
"Nebraska",91.6,32.5
"Kansas",91.4,33.9
"Idaho",91.3,28.7
"Michigan",91.3,30
"Massachusetts",91.1,44.5
"Oregon",91.1,34.4
"Pennsylvania",91,32.3
"Connecticut",90.9,40
"Ohio",90.8,28.9
"Delaware",90.6,32.7
"Maryland",90.6,40.9
"Missouri",90.6,29.9
"New Jersey",90.3,40.7
"Virginia",90.3,39.5
"Illinois",89.7,35.5
"Indiana",89.3,27.2
"Rhode Island",89.2,35
"Oklahoma",88.6,26.1
"Florida",88.5,30.5
"North Carolina",88.5,32
"South Carolina",88.3,29
"Tennessee",88.2,28.2
"Arizona",87.9,30.3
"Georgia",87.9,32.2
"West Virginia",87.6,21.3
"Arkansas",87.2,23.8
"Kentucky",87.2,25
"New York",87.2,37.5
"Alabama",86.9,26.2
"Nevada",86.9,25.5
"New Mexico",86.5,28.1
"Louisiana",85.9,24.9
"Mississippi",85.3,22.8
"Texas",84.4,30.7
"California",83.9,34.7