"state","white_perc"
"Alabama","0.644"
"Alaska","0.579"
"Arizona","0.521"
"Arkansas","0.683"
"California","0.342"
"Colorado","0.653"
"Connecticut","0.628"
"Delaware","0.595"
"District of Columbia","0.359"
"Florida","0.512"
"Georgia","0.503"
"Hawaii","0.196"
"Idaho","0.788"
"Illinois","0.590"
"Indiana","0.767"
"Iowa","0.831"
"Kansas","0.734"
"Kentucky","0.830"
"Louisiana","0.574"
"Maine","0.900"
"Maryland","0.481"
"Massachusetts","0.677"
"Michigan","0.731"
"Minnesota","0.769"
"Mississippi","0.559"
"Missouri","0.768"
"Montana","0.838"
"Nebraska","0.766"
"Nevada","0.451"
"New Hampshire","0.876"
"New Jersey","0.522"
"New Mexico","0.348"
"New York","0.535"
"North Carolina","0.611"
"North Dakota","0.827"
"Ohio","0.767"
"Oklahoma","0.629"
"Oregon","0.721"
"Pennsylvania","0.739"
"Rhode Island","0.689"
"South Carolina","0.628"
"South Dakota","0.802"
"Tennessee","0.723"
"Texas","0.393"
"Utah","0.760"
"Vermont","0.906"
"Virginia","0.595"
"Washington","0.646"
"West Virginia","0.906"
"Wisconsin","0.793"
"Wyoming","0.813"
"Puerto Rico","0.005"